index;author;title
111;"Camargo, Marco Túlio Terrell de";"Síntese de aluminato de magnésio por meio da técnica de pirólise de spray gerado por pulverização ultrassônica."
112;"Tavares, Caio Fazzioli";"Influência da composição química e da espessura da peça fundida na quantidade e distribuição de ferrita delta em aços inoxidáveis austeníticos."
113;"Gonzalez Ramírez, Mario Fernando";"Estudo da transformação durante o resfriamento continuo e da microestrutura do aço microligado X80 utilizado na construção de tubos para transporte de gás natural e petróleo."
114;"Araújo Junior, João de";"Estudo da degradação parcial de filmes de blendas de poli(tereftalato de butileno-co-adipato de butileno) e poli(ácido láctico) no processo de compostagem doméstica."
115;"Ruiz, Ilza Aparecida dos Santos";"Adição de EPDM ou anidrido maléico na blenda LDPE/PA6 e suas propriedades finais."
116;"Sartori, Carlos Humberto";"Influência dos tratamentos térmicos e tratamentos criogênicos na tenacidade do aço rápido AISI M2."
117;"Scarazzato, Tatiana";"Tratamento de efluente contendo HEDP por eletrodiálise."
118;"Correia, Fábio Conte";"Síntese e caracterização de polímeros contendo 9,9-dioctilfluoreno e 8-oxioctilquinolina para utilização como camada emissora de PLEDs."
119;"Liberto, Rodrigo César Nascimento";"Corrosão-erosão da liga Cu10Ni-3Al-1, 3Fe em presença de íons cloreto, sulfeto e sulfato."
120;"Roriz, Elizabeth Rodrigues Rangel";"Reciclagem de pilhas: recuperação do manganês na forma do dióxido de manganês eletrolítico."
121;"Pineda Arango, Diego Alfonso";"Efeito da inoculação na macroestrutura de grãos de ligas AI-Si obtidas por solidificação unidirecional."
122;"Oliveira, Antônio Fabiano de";"Caracterização de um aço IF após relaminação no laminador de encruamento."
123;"Pizzitola, Ivani Caetano dos Passos";"Efeito da incorporação de fibras curtas de sílica amorfa em compósitos de polipropileno utilizados pela indústria automotiva nacional."
124;"Pereira, Gilberto José";"Avaliação do excesso de superfície em pós nanométricos de SnO2 obtidos pelo método Pechini."
125;"Azevedo, Cesar Roberto de Farias";"Efeito do tamanho do grão austenítico na cinética e na morfologia do produto da reação bainítica de um ferro fundido nodular austemperado."
126;"Forini, Sérgio Henrique";"Estudo da dispersão e incorporação de argilas esmectíticas em plastisol."
127;"Cardoso, Cristiano";"Revestimentos de níquel químico para proteção contra corrosão."
128;"Bezerra, Maria Carolina Campello";"Avaliação do efeito do carbono em fluxantes para lingotamento contínuo de aços."
129;"Vargas Garcia, Erick Renato";"Efeito da corrente de soldagem do processo TIG pulsado autógeno na microestrutura da zona fundida dos aços inoxidáveis duplex UNS S32304 e UNS S32101."
130;"Sanchez Chavez, Giancarlo Franko";"Simulação física e caracterização de zonas afetadas pelo calor de aços API 5L grau X80."
131;"Pauli, Evandro Armini de";"Estudo da soldabilidade do aço inoxidável Lean Duplex UNS S82441 utilizando o processo MIG/MAG com diferentes energias de soldagem."
132;"Serbino, Edison Marcelo";"Um estudo dos mecanismos de desgaste em disco de freio automotivo ventilado de ferro fundido cinzento perlítico com grafita lamelar."
133;"Silva, Maria do Carmo Amorim da";"Avaliação da textura e da microestrutura de deformação de um aço elétrico GNO com 1,25% de Si laminado a frio."
134;"Miagava, Joice";"Modificação da energia de superfície em nano-óxidos do sistema SnO2-TiO2 preparados por síntese química."
135;"Vaccioli, Kleber";"Estudo da blenda PBAT/PLA com cargas."
136;"Valim, Fernanda Cabrera Flores";"Comportamento reológico de compósitos reforçados com óxido de grafite em matriz de poli(metacrilato de metila)."
137;"Vossen, Cláudio Alexander";"Nanocompósitos de ABS/PA e argilas organofílicas."
138;"Kubaski, Evaldo Toniolo";"Efeito das variáveis de moagem e dos moinhos de alta energia sobre a síntese do composto intermetálico NiAl."
139;"Otomar, Heber Pires";"Estudo comparativo da estampabilidade da liga de aluminio AA1050 partindo de placas obtidas por vazamento direto e bobinas obtidas por vazamento contínuo."
140;"Silva, Paula Fernanda da";"Desgaste e fadiga térmica de ligas \'aço matriz + NbC\'."
141;"Rosario, Deise Cristina Carvalho do";"Estabilização das nanopartículas de SnO2 - ZnO dopados: um estudo termodinâmico"
142;"Negreti, Maria Anita de Paula";"Obtenção e caracterização de compósitos poliméricos com óxido de grafeno reduzido."
143;"Serantoni, Claudia Regina";"Nucleação e crescimento do eutético austenita/VC em ligas do sistema Fe-V-C."
144;"Garcia, Marta Cristina Suarez";"Modificação do resíduo de bauxita gerado no processo Bayer por tratamento térmico."
145;"Toma, Rafael Eiji";"Comparação de juntas soldadas de aço inoxidável AISI 304 para aplicação em baixa temperatura utilizando-se a soldagem por arco submerso."
146;"Gomes, Leila Veronica da Rocha";"Preparação e caracterização de nanocompósitos de polipropileno reforçados com argila verde lodo e fibra da castanha-do-brasil."
147;"Caliman, Lorena Batista";"Sinterização flash do condutor catiônico beta-alumina sintetizada pelo método dos precursores poliméricos."
148;"Lili, Zhao";"Síntese e caracterização do copolímero tribloco anfifílico biodegradável poli(L, L-lactídeo-stat-e-caprolactona)-bloco-poli(óxido de etileno)-bloco-poli(L, L-lactídeo-stat-e-caprolactona)."
149;"Farina, Alexandre Bellegard";"Avaliação da seqüência de transformações de fases do aço AISI 430 convencional."
150;"Zimmermann, Margarita Rosa Bobadilla";"Nitretação a plasma de um aço inoxidável duplex 2205."
151;"Chambi Peralta, Marvin Marco";"Tratamento químico de uma vermiculita visando seu uso em compósitos de polipropileno."
152;"Molisani, André Luiz";"Sinterização de nitreto de alumínio com compostos contendo cálcio."
153;"López Ochoa, Diana Maria";"Estudo do desgaste erosivo-corrosivo de aços inoxidáveis de alto nitrogênio em meio lamacento."
154;"Cardoso, Roberto";"Estudo sobre a incidência das porosidades e sua identificação em uma liga de alumínio A356."
155;"Arteaga Vasquez, Ana Maria";"Estudo das propriedades reológicas de polipropilenos em fluxos de cisalhamento e fluxos elongacionais."
156;"Scuracchio, Bruno Geoffroy";"Tensões residuais induzidas por shot-peening e durabilidade de molas em lâmina."
157;"Hildebrando, Edemarino Araujo";"Síntese de zeólita do tipo faujasita utilizando rejeito de caulim da Amazônia como fonte de silício e alumínio: aplicação como adsorvente."
158;"Entringer, José Marcos Stelzer";"Influência da adição de ânions cloreto, fluoreto e sulfato nas propriedades físico-químicas da zircônia sintetizada pelo método Pechini."
159;"Lamotte, Alan";"Estudo da solidificação equiaxial utilizando o modelo do campo de fases tridimensional."
160;"Rodrigues, Ana Cecilia Pontes";"Efeito do cobre como adição interfacial no sistema tribológico pino X disco."
161;"Souza, Joelmir Mariano de";"Estudo e avaliação mecânica das juntas soldadas por ultra-som de policarbonato e poli (metacrilato de metila)."
162;"Faco, Rubens José";"Levantamento das inclusões nos principais grupos de aços produzidos em aciaria do tipo LD."
163;"Varela Jiménez, Luis Bernardo";"Estudo dos micromecanismos de dano por cativação em aço inoxidável UNS S 31803 de alto teor de nitrogênio com e sem encruamento."
164;"Santos Martinez, Juan David";"Estudo comparativo da resistência à corrosão e permeabilidade do hidrogênio de aços API grau X65 baixo manganês em solução B da norma NACE TM-0284."
165;"Bragato, Marcia";"Tratamento \'in-situ\' de solo contaminado por derivado de petróleo e metais."
166;"Hernández Díaz, Cristian Camilo";"Estudo da possibilidade de uso de lodo de esgoto e lama vermelha como matérias-primas cerâmicas."
167;"Cerqueira, Alex da Silva";"Uso de planejamento granulométrico para a preparação de dispersões aquosas para colagem em fitas de alumina."
168;"Abe, Rodnei Massamiti";"Estudo do poliuretano de alta densidade para proteção externa de oleodutos térmicos."
169;"Botton, Tatiana";"Estudo comparativo da resistência à corrosão em meio ácido e em meio contendo cloreto dos aços inoxidáveis UNS S44400, UNS S30403 e UNS S31603, obtidos por laminação a quente."
170;"Oliveira, Theógenes Silva de";"Refino de silício por solidificação direcional."
171;"Choquechambi Catorceno, Litzy Lina";"Estudo do encruamento, recristalização e crescimento de grão em chapa da liga de magnésio AZ31B (Mg - 3%Al - 1%Zn - 0,3%Mn)."
172;"Gómez Gómez, Adriana";"Determinação do teor de alumínio em drosses brancas de alumínio utilizando difração de raios-x."
